"","NA.","gdp_fra","unemp_fra","gdp_jpn","unemp_jpn","gdp_esp","unemp_esp","usa_gdp","usa_unemp"
"1",1980,1.809,6.349,3.181,2.017,1.203,11.011,-0.244,7.175
"2",1981,1.078,7.438,4.468,2.208,-0.408,13.755,2.594,7.617
"3",1982,2.509,8.069,3.574,2.35,1.239,15.77,-1.911,9.708
"4",1983,1.256,7.383,3.045,2.658,1.652,17.215,4.633,9.6
"5",1984,1.524,8.458,4.525,2.708,1.698,19.937,7.259,7.508
"6",1985,1.623,8.7,6.169,2.625,2.362,21.305,4.238,7.192
"7",1986,2.351,8.875,3.177,2.767,3.432,20.907,3.512,7
"8",1987,2.577,9.15,4.03,2.85,5.709,20.223,3.462,6.175
"9",1988,4.734,8.842,7.09,2.517,5.285,19.238,4.204,5.492
"10",1989,4.353,8.7,5.419,2.25,5.004,17.24,3.68,5.258
"11",1990,2.914,8.4,5.26,2.1,3.847,16.238,1.919,5.617
"12",1991,1.039,8.617,3.435,2.092,2.525,16.313,-0.074,6.85
"13",1992,1.6,9.442,0.874,2.15,0.851,18.353,3.555,7.492
"14",1993,-0.613,10.267,0.2,2.5,-1.314,22.64,2.746,6.908
"15",1994,2.345,10.667,1.035,2.892,2.335,24.118,4.038,6.1
"16",1995,2.085,10.508,2.742,3.15,4.122,22.9,2.719,5.592
"17",1996,1.388,10.833,3.1,3.367,2.421,22.08,3.796,5.408
"18",1997,2.337,10.892,1.077,3.4,3.865,20.61,4.487,4.942
"19",1998,3.556,10.692,-1.129,4.1,4.469,18.605,4.45,4.5
"20",1999,3.407,10.442,-0.252,4.667,4.745,15.64,4.685,4.217
"21",2000,3.875,9.175,2.78,4.733,5.053,13.857,4.092,3.967
"22",2001,1.954,8.458,0.406,5.042,4.004,10.54,0.976,4.742
"23",2002,1.118,8.275,0.118,5.358,2.88,11.45,1.786,5.783
"24",2003,0.82,8.5,1.528,5.242,3.186,11.485,2.807,5.992
"25",2004,2.786,8.825,2.205,4.733,3.17,10.965,3.785,5.542
"26",2005,1.608,8.883,1.663,4.425,3.717,9.153,3.345,5.083
"27",2006,2.375,8.825,1.42,4.117,4.177,8.453,2.666,4.608
"28",2007,2.361,7.975,1.654,3.833,3.769,8.233,1.779,4.617
"29",2008,0.195,7.467,-1.093,3.983,1.117,11.245,-0.292,5.8
"30",2009,-2.941,9.083,-5.417,5.075,-3.575,17.855,-2.776,9.283
"31",2010,1.966,9.267,4.192,5.058,0.017,19.858,2.532,9.608
"32",2011,2.079,9.2,-0.115,4.583,-1.002,21.39,1.602,8.933
"33",2012,0.183,9.775,1.495,4.325,-2.932,24.788,2.224,8.075
"34",2013,0.576,10.3,2,4.008,-1.704,26.095,1.677,7.367
"35",2014,0.948,10.3,0.336,3.583,1.379,24.443,2.569,6.167
"36",2015,1.067,10.392,1.111,3.375,3.203,22.058,2.862,5.258
"37",2016,1.188,10.042,1.032,3.117,3.235,19.635,1.485,4.85
